time_tag,xray_flux_0.05_0.4nm,xray_flux_0.1_0.8nm
2026-06-30 19:56:00+00:00,5.537960419133015e-07,6.208827926457161e-06
2026-06-30 19:57:00+00:00,8.632383696749457e-07,7.724305760348216e-06
2026-06-30 19:58:00+00:00,1.029591885526315e-06,9.119792593992315e-06
2026-06-30 19:59:00+00:00,8.9349930476601e-07,9.075984053197317e-06
2026-06-30 20:00:00+00:00,6.612861511712254e-07,8.27202256914461e-06
2026-06-30 20:01:00+00:00,4.837082769881818e-07,7.291891506611137e-06
2026-06-30 20:02:00+00:00,3.6525648283713963e-07,6.389489499269985e-06
2026-06-30 20:03:00+00:00,2.758193602403481e-07,5.603048066404881e-06
2026-06-30 20:04:00+00:00,2.270018342187541e-07,5.048747880209703e-06
2026-06-30 20:05:00+00:00,1.9691130148657979e-07,4.655325028579682e-06
2026-06-30 20:06:00+00:00,1.852647244504624e-07,4.427974090503994e-06
2026-06-30 20:07:00+00:00,1.7814410568917086e-07,4.275616902305046e-06
2026-06-30 20:08:00+00:00,1.7615892033973068e-07,4.1792591218836606e-06
2026-06-30 20:09:00+00:00,1.5683467324834058e-07,4.012790213892004e-06
2026-06-30 20:10:00+00:00,1.4277576099175349e-07,3.860645392705919e-06
2026-06-30 20:11:00+00:00,1.3785935948362749e-07,3.755986199394101e-06
2026-06-30 20:12:00+00:00,1.3049421454525145e-07,3.6645869840867817e-06
2026-06-30 20:13:00+00:00,1.2367570434435038e-07,3.5864370602212148e-06
2026-06-30 20:14:00+00:00,1.2187898335014324e-07,3.534953066264279e-06
2026-06-30 20:15:00+00:00,1.2048853648138902e-07,3.512281409712159e-06
2026-06-30 20:16:00+00:00,1.2613389799298602e-07,3.525030706441612e-06
2026-06-30 20:17:00+00:00,1.35166487780225e-07,3.580956445148331e-06
2026-06-30 20:18:00+00:00,1.397797291247116e-07,3.5927728276874404e-06
2026-06-30 20:19:00+00:00,1.3473484727910545e-07,3.5899038266506977e-06
2026-06-30 20:20:00+00:00,1.312446897827613e-07,3.586645561881596e-06
2026-06-30 20:21:00+00:00,1.185994733532425e-07,3.5298951388540445e-06
2026-06-30 20:22:00+00:00,1.1057376525513973e-07,3.454600346231018e-06
2026-06-30 20:23:00+00:00,1.095560122621464e-07,3.4110594242520165e-06
2026-06-30 20:24:00+00:00,1.0809843331571757e-07,3.385079935469548e-06
2026-06-30 20:25:00+00:00,1.0887073642606993e-07,3.383534703971236e-06
2026-06-30 20:26:00+00:00,1.0395620364533897e-07,3.3768408229661877e-06
2026-06-30 20:27:00+00:00,1.043075741335997e-07,3.37996630150883e-06
2026-06-30 20:28:00+00:00,1.0468581024269953e-07,3.375643473191303e-06
2026-06-30 20:29:00+00:00,1.0508025383160204e-07,3.3683638775983127e-06
2026-06-30 20:30:00+00:00,1.0537211636574285e-07,3.369684009157936e-06
2026-06-30 20:31:00+00:00,1.0553488039022341e-07,3.359854645168525e-06
2026-06-30 20:32:00+00:00,1.0938681072047984e-07,3.3775859265006147e-06
2026-06-30 20:33:00+00:00,1.1463762206176399e-07,3.397327418497298e-06
2026-06-30 20:34:00+00:00,1.1387353993086437e-07,3.402588617973379e-06
2026-06-30 20:35:00+00:00,1.193446053093794e-07,3.432081484788796e-06
2026-06-30 20:36:00+00:00,1.2625747558558942e-07,3.518396624713205e-06
2026-06-30 20:37:00+00:00,1.318519764481607e-07,3.5694224607141223e-06
2026-06-30 20:38:00+00:00,1.504368469795736e-07,3.6850351534667433e-06
2026-06-30 20:39:00+00:00,1.8718468197675975e-07,3.955389274779009e-06
2026-06-30 20:40:00+00:00,2.7541048552848224e-07,4.496402652875986e-06
2026-06-30 20:41:00+00:00,6.152500304779096e-07,6.176600891194539e-06
2026-06-30 20:42:00+00:00,1.6772206663517863e-06,1.0326473784516566e-05
2026-06-30 20:43:00+00:00,3.9116957850637846e-06,1.707288174657151e-05
2026-06-30 20:44:00+00:00,8.142469596350566e-06,2.817194217641372e-05
2026-06-30 20:45:00+00:00,1.4900479072821328e-05,4.535105472314172e-05
2026-06-30 20:46:00+00:00,2.2716201783623543e-05,6.71267116558738e-05
2026-06-30 20:47:00+00:00,2.7782944016507827e-05,8.693825657246634e-05
2026-06-30 20:48:00+00:00,2.8906806619488638e-05,0.0001002895223791
2026-06-30 20:49:00+00:00,2.768045487755444e-05,0.0001077133783837
2026-06-30 20:50:00+00:00,2.5636172722443007e-05,0.0001109478835132
2026-06-30 20:51:00+00:00,2.295258491358254e-05,0.0001100005829357
2026-06-30 20:52:00+00:00,2.036215664702468e-05,0.0001069275022018
2026-06-30 20:53:00+00:00,1.791342037904542e-05,0.0001021836578729
2026-06-30 20:54:00+00:00,1.544212682347279e-05,9.641410724725574e-05
2026-06-30 20:55:00+00:00,1.32307332023629e-05,8.904306741897017e-05
2026-06-30 20:56:00+00:00,1.1184618415427394e-05,8.100212289718911e-05
2026-06-30 20:57:00+00:00,9.475380466028582e-06,7.291058136615902e-05
2026-06-30 20:58:00+00:00,8.055319085542578e-06,6.545204087160528e-05
2026-06-30 20:59:00+00:00,6.832105555076851e-06,5.853525726706721e-05
2026-06-30 21:00:00+00:00,5.7897059377864935e-06,5.2418043196666986e-05
2026-06-30 21:01:00+00:00,4.925357643514872e-06,4.7053079470060766e-05
2026-06-30 21:02:00+00:00,4.283070666133426e-06,4.25710495619569e-05
2026-06-30 21:03:00+00:00,3.6986934901506174e-06,3.8462007069028914e-05
2026-06-30 21:04:00+00:00,3.621343694248935e-06,3.613965236581862e-05
2026-06-30 21:05:00+00:00,3.566111899999669e-06,3.490121889626607e-05
2026-06-30 21:06:00+00:00,2.866528120648581e-06,3.133319114567712e-05
2026-06-30 21:07:00+00:00,2.2881893073645188e-06,2.7547275749384426e-05
2026-06-30 21:08:00+00:00,1.9059929172726695e-06,2.4351818865397945e-05
2026-06-30 21:09:00+00:00,1.66792847267061e-06,2.1934978576609865e-05
2026-06-30 21:10:00+00:00,1.4877551848258008e-06,1.9974837414338253e-05
